"id","tree","Sp","x","y","h.dist","dbh","h","dead","v.user","w.user"
8,27,21,13.576299999957,-5.73199999984354,14.73674814,28.7,13.6,NA,NA,0.1725136336
8,28,21,8.91630000004079,11.8080000001937,14.79625864,32.2,14.5,NA,NA,0.231526372
8,29,21,6.82629999995697,14.5879999995232,16.10615149,38.9,16.7,NA,NA,0.3891673478
8,30,21,15.2362999999896,6.04199999943376,16.39056441,32,14.8,NA,NA,0.23339008
8,31,21,-1.08869999996386,-16.473000000231,16.50893687,39.5,15.6,NA,NA,0.37483446
8,32,21,-15.454700000002,-5.95999999996275,16.56409829,37.3,19.8,NA,NA,0.4242321468
8,33,21,-14.1347000000533,-9.21999999973923,16.8759635,37.2,19,NA,NA,0.404911584
8,34,21,-15.2587000000058,7.22099999990314,16.88107718,46,19.6,NA,NA,0.63869344
8,35,21,-14.1996999999974,10.0860000001267,17.41720058,29.5,14.9,NA,NA,0.199687565
8,36,21,-17.2907000000123,-2.20899999979883,17.43123597,49.3,20.7,NA,NA,0.7747916022
8,37,21,14.2672999999486,10.2280000001192,17.55470972,36,14.4,NA,NA,0.28740096
8,38,21,10.7153000000399,-14.6800000006333,18.17470919,33.4,13.8,NA,NA,0.2370788112
8,39,21,-9.42870000004768,16.0309999994934,18.5982081,26.3,16.3,NA,NA,0.1736280238
8,40,21,-14.2626999999629,-12.3310000002384,18.85412879,24.4,16.4,NA,NA,0.1503641216
8,41,21,1.82929999998305,-18.9359999997541,19.02415398,29,14.9,NA,NA,0.19297586
8,42,21,-16.8237000000663,-9.10300000011921,19.12855171,37.3,18,NA,NA,0.385665588
8,43,21,-12.7157000000589,14.6759999999776,19.41839341,34.1,16,NA,NA,0.286516384
8,44,21,6.88930000003893,-18.1790000004694,19.44064031,37.4,15.2,NA,NA,0.3274217408
9,1,21,-5.4655999999959,1.69099999964237,5.721211791,38.4,15.2,NA,NA,0.3451650048
9,2,21,5.22940000006929,2.50299999956042,5.797554084,39.5,15.6,NA,NA,0.37483446
9,3,21,8.14740000001621,0.0400000000372529,8.14749819,29,14.9,NA,NA,0.19297586
9,4,21,-0.199599999934435,8.49299999978393,8.495345146,37.6,17,NA,NA,0.370122368
9,5,21,-8.87659999995958,3.60800000000745,9.581841762,33.4,16.5,NA,NA,0.283463796
9,6,21,-4.92759999993723,-8.35500000044703,9.699859111,37,15,NA,NA,0.316239
9,7,21,-7.94459999992978,6.64499999955297,10.35725321,24.4,16.4,NA,NA,0.1503641216
9,8,21,7.64140000008047,7.12899999972433,10.45053276,31.6,14.7,NA,NA,0.2260540128
9,9,21,8.18040000007022,-7.39100000075996,11.02478232,28.1,14.5,NA,NA,0.176319913
9,10,21,-10.7385999999242,2.50999999977648,11.02803835,22.2,16,NA,NA,0.121435776
9,11,21,-10.2695999999996,-4.0440000006929,11.03714728,25.5,13.7,NA,NA,0.137189745
9,12,21,11.4254000000656,-4.89400000032037,12.4294409,31.5,15.5,NA,NA,0.236850075
9,13,21,-7.81660000002012,9.75600000005215,12.50115081,37.2,19,NA,NA,0.404911584
9,14,21,6.37239999999292,-11.0360000003129,12.74365637,29,14.5,NA,NA,0.1877953
9,15,21,-12.6866000000155,2.02999999932945,12.84798504,25.2,14.9,NA,NA,0.1457162784
9,16,21,13.2074000000721,0.796999999321997,13.23142561,37.4,15.2,NA,NA,0.3274217408
9,17,21,-11.3145999999251,-6.86000000033528,13.23177135,29.8,15.9,NA,NA,0.2174454744
9,18,21,-6.49359999992885,-11.9060000004247,13.5616989,24.4,15.4,NA,NA,0.1411955776
9,19,21,7.37939999997616,11.4709999999031,13.63962556,32.1,15.3,NA,NA,0.2427852042
9,20,21,-4.06259999994654,13.3729999996722,13.9764748,22.2,18.3,NA,NA,0.1388921688
9,21,21,12.8453999999911,-5.5440000006929,13.99071968,28.6,15.9,NA,NA,0.2002856856
9,22,21,-10.5056000000332,9.87299999967217,14.41678745,37.3,18,NA,NA,0.385665588
9,23,21,5.32339999999385,-13.598000000231,14.60288299,29.1,16.6,NA,NA,0.2164785084
9,24,21,11.8264000000199,-9.14000000059605,14.94668314,34.5,16.6,NA,NA,0.30427551
9,25,21,8.60739999997895,-12.2420000005513,14.96508933,35.6,15.9,NA,NA,0.3103257696
9,26,21,-3.38959999999497,14.6429999992251,15.03019751,26.8,17.7,NA,NA,0.1957778592
9,27,21,-13.2996000000276,-7.66100000031292,15.34829897,27.8,16.5,NA,NA,0.196378644
9,28,21,-9.13659999996889,13.0159999998286,15.90263235,37.3,19.8,NA,NA,0.4242321468
9,29,21,0.327400000067428,16.6059999996796,16.60922716,30.8,18.3,NA,NA,0.2673457248
9,30,21,-7.71759999997448,-14.7830000007525,16.67628372,25.5,15.8,NA,NA,0.15821883
9,31,21,2.01140000007581,-16.5810000002384,16.70255343,36,16.2,NA,NA,0.32332608
9,32,21,11.6674000000348,-12.3220000006258,16.96938145,28.8,15.4,NA,NA,0.1967099904
9,33,21,14.0504000000656,9.9089999999851,17.19308062,31.5,14,NA,NA,0.2139291
9,34,21,6.71240000007674,-16.1720000002533,17.50970867,25.2,16.2,NA,NA,0.1584297792
9,35,21,17.033400000073,4.29599999915808,17.56679628,33.4,13.8,NA,NA,0.2370788112
9,36,21,-11.7576000000117,-13.6580000007525,18.02171251,33.9,16.5,NA,NA,0.292014261
9,37,21,-5.0006000000285,17.7679999992251,18.45827252,41,20,NA,NA,0.517748
9,38,21,-5.30460000003222,-18.0750000001863,18.8373142,33.4,16.3,NA,NA,0.2800278712
9,39,21,-0.904600000008941,18.9079999998212,18.92962665,33.5,17.7,NA,NA,0.305902905
9,40,21,-19.063599999994,1.50799999944866,19.12315113,36,14.9,NA,NA,0.29738016
9,41,21,-15.3275999999605,-11.7060000002384,19.28641381,26.2,16.1,NA,NA,0.1701959336
9,42,21,-13.9695999999531,-14.2120000002906,19.9281376,30.9,16.5,NA,NA,0.242617221
10,1,21,-6.13040000002366,0.773999999277294,6.179067904,28.6,15.9,NA,NA,0.2002856856
10,2,21,7.19559999997728,-0.110000000335276,7.196440742,42,14.4,NA,NA,0.39118464
10,3,21,-7.55039999994915,1.42399999964982,7.683509365,31.5,15.5,NA,NA,0.236850075
10,4,21,-7.14939999999478,-2.82200000062585,7.686195702,34.5,16.6,NA,NA,0.30427551
10,5,21,-5.76839999994263,7.11499999929219,9.159566777,37.4,15.2,NA,NA,0.3274217408
10,6,21,-7.30839999997988,-6.00400000065565,9.458368071,28.8,15.4,NA,NA,0.1967099904
10,7,21,-1.9423999999417,10.6139999991283,10.7902694,33.4,13.8,NA,NA,0.2370788112
10,8,21,-10.7953999999445,-1.07300000078976,10.84859393,28.1,14.5,NA,NA,0.176319913
10,9,21,-10.3684000000358,-5.92400000058115,11.94141929,35.6,15.9,NA,NA,0.3103257696
10,10,21,12.2615999999689,1.71999999973923,12.3816491,34.8,15.6,NA,NA,0.2909402496
